SEASON,PLAYER_NAME,GP,W,L,W_PCT,PTS,PLUS_MINUS,FG_PCT,FG3M,AST,REB,STL,BLK,PTS_RANK,PLUS_MINUS_RANK,FG_PCT_RANK
2021-22,RJ Barrett,31,14,17,45.2,69,-28,43.4,8,5,14,1,0,32,463,188
2021-22,Julius Randle,37,15,22,40.5,62,-53,37.5,3,14,33,1,2,42,490,241
2021-22,Evan Fournier,27,12,15,44.4,45,-18,34.9,11,8,12,1,2,82,418,264
2021-22,Alec Burks,41,15,26,36.6,41,-110,30.2,7,15,14,2,2,88,496,300
2021-22,Mitchell Robinson,26,11,15,42.3,19,-43,66.7,0,1,31,1,3,159,486,59
2021-22,Immanuel Quickley,30,12,18,40.0,17,-37,21.7,2,6,9,2,0,177,479,338
2021-22,Derrick Rose,12,3,9,25.0,13,-28,42.9,1,7,4,0,1,198,463,192
2021-22,Kemba Walker,11,6,5,54.5,8,-11,14.3,2,5,7,0,0,246,369,356
2021-22,Quentin Grimes,9,4,5,44.4,8,-28,37.5,2,0,5,0,0,246,463,241
2021-22,Cam Reddish,9,3,6,33.3,6,-18,40.0,1,1,3,0,0,272,418,223
2021-22,Obi Toppin,14,5,9,35.7,4,-27,25.0,0,0,7,0,1,302,460,325
2021-22,Taj Gibson,14,7,7,50.0,4,-4,66.7,0,1,3,1,1,302,290,59
2021-22,Damyean Dotson,1,0,1,0.0,0,-3,0.0,0,0,0,0,0,382,274,364
2021-22,Jericho Sims,4,2,2,50.0,0,1,0.0,0,0,5,0,0,382,207,364
2021-22,Miles McBride,3,2,1,66.7,0,11,0.0,0,1,1,0,0,382,102,364
2021-22,Nerlens Noel,4,2,2,50.0,0,4,0.0,0,1,5,0,1,382,168,364
2021-22,Ryan Arcidiacono,1,1,0,100.0,0,2,0.0,0,0,0,0,0,382,190,364
2021-22,Wayne Selden,1,0,1,0.0,0,-2,0.0,0,0,0,0,0,382,250,364
2022-23,Jalen Brunson,35,19,16,54.3,139,-8,51.6,6,17,11,1,3,4,300,114
2022-23,Julius Randle,42,22,20,52.4,102,-57,33.8,8,18,56,6,3,18,447,285
2022-23,RJ Barrett,35,17,18,48.6,56,-61,35.7,2,3,29,1,3,67,449,273
2022-23,Quentin Grimes,34,17,17,50.0,42,-61,53.6,10,4,12,1,1,92,449,105
2022-23,Josh Hart,40,18,22,45.0,31,-42,42.9,3,9,36,4,4,124,432,211
2022-23,Immanuel Quickley,34,19,15,55.9,21,-53,24.2,2,9,8,3,0,163,443,344
2022-23,Mitchell Robinson,22,10,12,45.5,20,-38,57.1,0,3,35,5,6,167,428,91
2022-23,Isaiah Hartenstein,20,11,9,55.0,13,-34,66.7,0,0,11,2,1,205,422,53
2022-23,Jericho Sims,9,5,4,55.6,9,-14,100.0,0,0,8,0,3,238,349,1
2022-23,Obi Toppin,6,5,1,83.3,7,13,60.0,1,0,0,0,0,255,90,74
2022-23,Miles McBride,5,3,2,60.0,6,-4,25.0,1,0,0,0,0,269,260,331
2022-23,Evan Fournier,8,4,4,50.0,4,-4,33.3,1,1,0,0,0,302,260,286
2022-23,Derrick Rose,1,0,1,0.0,0,3,0.0,0,0,0,0,0,382,173,361
2022-23,Ryan Arcidiacono,1,0,1,0.0,0,-5,0.0,0,1,1,0,0,382,274,361
2023-24,Jalen Brunson,30,15,15,50.0,106,59,42.4,6,20,11,2,0,9,17,206
2023-24,Julius Randle,18,9,9,50.0,47,41,55.2,4,7,17,1,0,65,30,85
2023-24,Bojan Bogdanovic,17,5,12,29.4,29,-48,29.7,5,2,9,1,0,123,450,316
2023-24,Josh Hart,26,14,12,53.8,29,41,64.3,3,6,26,4,2,123,30,51
2023-24,Donte DiVincenzo,25,16,9,64.0,27,3,30.8,6,2,13,4,2,131,160,309
2023-24,Alec Burks,18,5,13,27.8,19,-50,26.1,4,3,4,0,2,162,451,328
2023-24,OG Anunoby,23,11,12,47.8,19,-14,38.5,3,4,7,2,3,162,374,242
2023-24,Precious Achiuwa,20,7,13,35.0,14,-1,50.0,0,0,17,2,4,186,226,103
2023-24,Isaiah Hartenstein,24,13,11,54.2,10,45,62.5,0,3,12,0,2,213,28,52
2023-24,Miles McBride,11,5,6,45.5,9,-5,33.3,1,2,1,3,0,221,281,278
2023-24,Mitchell Robinson,9,5,4,55.6,9,10,33.3,0,0,13,2,2,221,107,278
2023-24,DaQuan Jeffries,1,0,1,0.0,0,-2,0.0,0,0,0,0,0,367,243,355
2023-24,Jericho Sims,1,0,1,0.0,0,0,0.0,0,0,0,0,0,367,194,355
2023-24,Shake Milton,2,1,1,50.0,0,-1,0.0,0,0,0,0,0,367,226,355
2024-25,Jalen Brunson,28,17,11,60.7,156,22,51.5,10,28,11,3,0,2,65,126
2024-25,Karl-Anthony Towns,26,15,11,57.7,46,14,54.3,5,8,31,5,5,64,96,114
2024-25,Josh Hart,28,17,11,60.7,42,24,38.5,1,12,35,5,1,75,53,247
2024-25,Mikal Bridges,30,18,12,60.0,41,-9,58.1,3,8,13,3,5,78,355,94
2024-25,OG Anunoby,23,13,10,56.5,35,-1,37.8,3,5,21,7,4,97,245,253
2024-25,Miles McBride,20,13,7,65.0,20,4,42.1,4,0,2,1,2,157,169,219
2024-25,Precious Achiuwa,11,10,1,90.9,14,24,54.5,0,0,10,1,2,208,53,110
2024-25,Delon Wright,4,3,1,75.0,2,-8,50.0,0,0,1,0,2,345,339,129
2024-25,Landry Shamet,3,3,0,100.0,2,3,0.0,0,0,0,1,0,345,178,369
2024-25,Cameron Payne,7,5,2,71.4,1,4,0.0,0,1,0,2,0,382,169,369
2024-25,Mitchell Robinson,7,3,4,42.9,1,-16,0.0,0,0,4,0,1,382,416,369
2024-25,Ariel Hukporti,2,1,1,50.0,0,-4,0.0,0,0,2,0,0,392,299,369
2024-25,Kevin McCullar Jr.,1,1,0,100.0,0,3,0.0,0,0,1,0,0,392,178,369
2024-25,MarJon Beauchamp,1,0,1,0.0,0,0,0.0,0,0,0,0,0,392,217,369
2024-25,P.J. Tucker,2,1,1,50.0,0,-6,0.0,0,0,0,0,0,392,322,369
